Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,injuries,dead,Victims,Vehicle Involved,Latitude,Longitude,Vehicle Type,Year
267,Dinajpur,akkelpur,panchmatha,Tuesday,May,8,19,Evening,0,1,1,2,25.621418,88.643609,truck_cycle,2018
268,Gopalganj,gimadanga,,Tuesday,May,8,19,Evening,1,1,2,2,22.912524,89.892963,bus_cycle,2018
269,Patuakhali,fatullabazar,dhaka_kuakata_highway,Thursday,May,10,7,Morning,1,1,2,2,22.058285,90.237929,bus_cycle,2018
270,Mymensingh,tarakanda,mymensingh_sherpur_road,Friday,May,11,18,Afternoon,0,2,2,2,24.870953,90.419389,three_wheeler_rickshaw,2018
271,Mymensingh,tarakanda,mymensingh_sherpur_road,Friday,May,11,17,Afternoon,1,4,5,2,24.873849,90.417849,bus_three_wheeler,2018
272,Dhaka,mirpur,diabari,Friday,May,11,14,Afternoon,10,3,13,2,23.796929,90.340654,bus_car,2018
273,Dhaka,uttara,,Friday,May,11,9,Morning,1,1,2,2,23.873083,90.368208,bus_rickshaw,2018
274,Chittagong,sitakunda,dhaka_chittagong_highway,Saturday,May,12,9,Morning,0,1,1,1,22.610639,91.662965,truck,2018
275,Rangpur,kaunia,,Saturday,May,12,5,Morning,0,1,1,2,25.776616,89.428429,truck,2018
276,Naogaon,munda,bholabazar,Sunday,May,13,9,Morning,0,1,1,2,24.892893,88.736618,bus_cycle,2018
277,Dhaka,,Mayor_hanif_flyover,Thursday,May,17,20,Night,0,1,1,2,23.713328,90.427335,bus,2018
278,Jamalpur,,,Thursday,May,17,18,Night,2,1,3,2,24.907481,89.954409,cycle_car,2018
279,Pabna,rirajganj,hatikumrul_bonpara_highway,Thursday,May,17,19,Night,4,3,7,2,24.327646,89.208903,bus_van,2018
280,Chittagong,gec,,Friday,May,18,20,Night,0,1,1,1,22.358939,91.821357,bus,2018
281,Brahmanbaria,malihata,dhaka_sylhet_highway,Saturday,May,19,6,Morning,0,3,3,2,24.042669,90.854645,car_rickshaw,2018
282,Dhaka,heMaytepur,dhaka_aricha_highway,Monday,May,21,23,Night,0,1,1,1,23.851208,90.258791,bus,2018
283,Manikganj,shivalaya,dhaka_aricha_highway,Monday,May,21,24,Night,0,1,1,1,23.838625,89.792054,truck,2018
284,Bogra,birgram,natore_bogra_highway,Wednesday,May,23,9,Morning,7,5,12,2,24.770257,89.348276,truck_car,2018
285,Gopalganj,majighati,,Wednesday,May,23,15,Afternoon,1,3,4,2,23.01385,89.831777,cycle,2018
286,Rangpur,pirganj,rangpur_bogra_highway,Wednesday,May,23,16,Afternoon,1,2,3,1,25.419151,89.314745,bus,2018
